settlement_batch_id,txn_id,payout_utr,gross_amount_paise,fee_paise,gst_on_fee_paise,tds_paise,refund_paise,chargeback_paise,net_paise,settlement_date
STL00020,TXN000048,UTR38528536564688,107924,2158,388,108,0,0,105270,2026-02-07
STL00021,TXN000049,UTR40346696921261,565201,11304,2035,565,0,0,551297,2026-03-12
STL00021,TXN000050,UTR40346696921261,1491489,29830,5369,1491,0,0,1454799,2026-03-12
STL00022,TXN000051,UTR72469354450457,668953,13379,2408,669,0,0,652497,2026-03-13
STL00022,TXN000052,UTR72469354450457,1960160,39203,7057,1960,0,0,1911940,2026-03-13
STL00023,TXN000053,UTR99467973865528,714560,14291,2572,715,0,0,696982,2026-03-14
STL00023,TXN000054,UTR99467973865528,372666,7453,1342,373,0,0,363498,2026-03-14
STL00024,TXN000055,UTR32650028586240,232498,4650,837,232,0,0,226779,2026-03-15
STL00025,TXN000056,UTR13767202029993,1673797,33476,6026,1674,0,0,1632621,2026-03-16
STL00025,TXN000057,UTR13767202029993,1785746,35715,6429,1786,0,0,1741816,2026-03-16
STL00026,TXN000058,UTR02690771468521,1187919,23758,4276,1188,0,0,1158697,2026-03-17
STL00026,TXN000059,UTR02690771468521,1004825,20097,3617,1005,0,0,980106,2026-03-17
STL00026,TXN000060,UTR02690771468521,336273,6725,1211,336,0,0,328001,2026-03-17
STL00027,TXN000061,UTR48715651155896,521958,10439,1879,522,0,0,509118,2026-03-18
STL00028,TXN000062,UTR61865567887052,723251,14465,2604,723,0,0,705459,2026-03-19
STL00029,TXN000063,UTR17602442483702,1066076,21322,3838,1066,0,0,1039850,2026-03-27
STL00029,TXN000064,UTR17602442483702,257635,5153,928,258,0,0,251296,2026-03-27
STL00030,TXN000063,UTR87706052580035,1066076,21322,3838,1066,0,0,1039850,2026-03-29
STL00030,TXN000065,UTR87706052580035,173965,3479,626,174,0,0,169686,2026-03-29
STL00031,TXN000066,UTR53238843748339,1041421,20828,3749,1041,0,0,1015803,2026-03-28
STL00031,TXN000067,UTR53238843748339,1255444,25109,4520,1255,0,0,1224560,2026-03-28
STL00032,TXN000066,UTR73322468915462,1041421,20828,3749,1041,0,0,1015803,2026-03-30
STL00032,TXN000068,UTR73322468915462,691893,13838,2491,692,0,0,674872,2026-03-30
STL00033,TXN000069,UTR69209149496179,1418706,28374,5107,1419,0,0,1383806,2026-03-29
STL00033,TXN000070,UTR69209149496179,276369,5527,995,276,0,0,269571,2026-03-29
STL00034,TXN000069,UTR15816403310686,1418706,28374,5107,1419,0,0,1383806,2026-03-31
STL00034,TXN000071,UTR15816403310686,1432122,28642,5156,1432,0,0,1396892,2026-03-31
STL00035,TXN000072,UTR64513349795258,743047,14861,2675,743,0,0,724768,2026-03-30
STL00035,TXN000073,UTR64513349795258,1922215,38444,6920,1922,0,0,1874929,2026-03-30
STL00036,TXN000072,UTR57733514695207,743047,14861,2675,743,0,0,724768,2026-04-01
STL00036,TXN000074,UTR57733514695207,81502,1630,293,82,0,0,79497,2026-04-01
STL00037,TXN000075,UTR34792836443455,939412,18788,3382,939,0,0,916303,2026-03-31
STL00037,TXN000076,UTR34792836443455,227296,4546,818,227,0,0,221705,2026-03-31
STL00038,TXN000075,UTR48770605339499,939412,18788,3382,939,0,0,916303,2026-04-02
STL00038,TXN000077,UTR48770605339499,429449,8589,1546,429,0,0,418885,2026-04-02
STL00039,TXN000078,UTR18902654970209,1941220,38824,6988,1941,0,0,1893467,2026-04-01
STL00039,TXN000079,UTR18902654970209,1819038,36381,6549,1819,0,0,1774289,2026-04-01
STL00040,TXN000078,UTR23355269772970,1941220,38824,6988,1941,0,0,1893467,2026-04-03
STL00040,TXN000080,UTR23355269772970,1547945,30959,5573,1548,0,0,1509865,2026-04-03
STL00041,TXN000081,UTR28613879812685,64371,1287,232,64,0,0,62788,2026-04-02
STL00041,TXN000082,UTR28613879812685,665616,13312,2396,666,0,0,649242,2026-04-02
STL00042,TXN000081,UTR59605897642950,64371,1287,232,64,0,0,62788,2026-04-04
STL00042,TXN000083,UTR59605897642950,540610,10812,1946,541,0,0,527311,2026-04-04
STL00043,TXN000084,UTR61164901379620,1234767,24695,4445,1235,0,0,1204392,2026-04-03
STL00043,TXN000085,UTR61164901379620,355189,7104,1279,355,0,0,346451,2026-04-03
STL00044,TXN000084,UTR07876114619159,1234767,24695,4445,1235,0,0,1204392,2026-04-05
STL00044,TXN000086,UTR07876114619159,60541,1211,218,61,0,0,59051,2026-04-05
