txn_id,order_id,rrn,gross_amount_paise,captured_at,payment_method,status,merchant_ref
TXN000021,ORD000021,191625162411,475546,2026-01-11T15:16:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000022,ORD000022,746467823765,1134908,2026-01-12T09:37:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000023,ORD000023,544246799873,881350,2026-01-12T10:34:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000024,ORD000024,734308677364,564375,2026-01-13T18:42:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000025,ORD000025,802295876482,1815092,2026-01-29T06:53:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000026,ORD000026,752366994855,466549,2026-01-29T12:10:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000027,ORD000027,597685700902,1836058,2026-01-30T18:25:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000028,ORD000028,853645050562,89133,2026-01-30T09:16:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000029,ORD000029,209940974170,1956741,2026-01-30T08:24:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000030,ORD000030,695899290085,1040969,2026-01-31T06:14:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000031,ORD000031,502668686434,276836,2026-01-31T18:23:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000032,ORD000032,520081748577,339009,2026-01-31T16:39:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000033,ORD000033,106177859112,1297969,2026-02-01T17:48:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000034,ORD000034,900184318375,45538,2026-02-01T08:14:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000035,ORD000035,174347116516,692262,2026-02-01T16:08:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000036,ORD000036,631389089420,1322808,2026-02-02T08:55:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000037,ORD000037,974124830252,1283918,2026-02-02T13:17:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000038,ORD000038,636423856010,647618,2026-02-02T06:43:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000039,ORD000039,901809180970,1187210,2026-02-03T13:52:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000040,ORD000040,836982974034,697977,2026-02-03T15:15:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000041,ORD000041,187361284208,1255627,2026-02-03T19:15:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000042,ORD000042,530165011560,1567355,2026-02-03T10:03:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000043,ORD000043,531526866790,376247,2026-02-04T07:08:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000044,ORD000044,362512560102,278973,2026-02-04T15:38:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000045,ORD000045,714272668766,1991763,2026-02-04T21:54:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000046,ORD000046,905375542853,805241,2026-02-05T19:37:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000047,ORD000047,204045076169,1933039,2026-02-05T12:24:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000048,ORD000048,449658135399,107924,2026-02-05T19:12:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000049,ORD000049,983335405879,565201,2026-03-10T21:10:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000050,ORD000050,994932613660,1491489,2026-03-10T18:21:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000051,ORD000051,758677891465,668953,2026-03-11T10:47:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000052,ORD000052,821725469491,1960160,2026-03-11T08:01:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000053,ORD000053,660875659287,714560,2026-03-12T17:51:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000054,ORD000054,989970999099,372666,2026-03-12T08:10:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000055,ORD000055,361635197824,232498,2026-03-13T22:30:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000056,ORD000056,680327659968,1673797,2026-03-14T20:51:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000057,ORD000057,840275356657,1785746,2026-03-14T15:14:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000058,ORD000058,898582093495,1187919,2026-03-15T15:32:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000059,ORD000059,869800679645,1004825,2026-03-15T06:23:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000060,ORD000060,812365462457,336273,2026-03-15T21:25:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000061,ORD000061,895500397667,521958,2026-03-16T07:31:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000062,ORD000062,667310326324,723251,2026-03-17T21:34:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000063,ORD000063,844176447209,1066076,2026-03-25T10:03:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000064,ORD000064,120657221437,257635,2026-03-25T10:23:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000065,ORD000065,136244410102,173965,2026-03-25T08:52:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000066,ORD000066,933617130408,1041421,2026-03-26T09:05:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000067,ORD000067,335240574794,1255444,2026-03-26T07:08:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000068,ORD000068,415406643678,691893,2026-03-26T13:16:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000069,ORD000069,878630747984,1418706,2026-03-27T09:24:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000070,ORD000070,830310389824,276369,2026-03-27T18:53:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000071,ORD000071,854094170824,1432122,2026-03-27T16:20:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000072,ORD000072,746148868796,743047,2026-03-28T16:33:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000073,ORD000073,176694533197,1922215,2026-03-28T15:15:00,netbanking,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000074,ORD000074,156962854772,81502,2026-03-28T13:01:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000075,ORD000075,897847797926,939412,2026-03-29T07:28:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000076,ORD000076,860818260153,227296,2026-03-29T17:21:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000077,ORD000077,729587530311,429449,2026-03-29T20:17:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000078,ORD000078,952478319500,1941220,2026-03-30T18:45:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000079,ORD000079,794754249019,1819038,2026-03-30T17:56:00,card,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000080,ORD000080,230004331973,1547945,2026-03-30T11:54:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000081,ORD000081,598191630437,64371,2026-03-31T12:01:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000082,ORD000082,318271786939,665616,2026-03-31T15:14:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000083,ORD000083,979637563846,540610,2026-03-31T08:08:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000084,ORD000084,291905306218,1234767,2026-04-01T12:19:00,upi,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000085,ORD000085,721807581309,355189,2026-04-01T07:46:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
TXN000086,ORD000086,502506060169,60541,2026-04-01T15:32:00,wallet,captured,MERCHANT_LEDGERLOOP_DEMO
